,Unnamed: 0,State,STATEFP,year,demVotes,repVotes,demVoteFrac,repVoteFrac,demSeats,demSeatFrac,specAsym (seats),specAsym (fraction),mean-median,Grofman Asym,efficiency gap,Cs,margin,ndist
94,94,CA,06,1976,4173767.57122,3281190.54782,0.559864657128,0.440135342872,29.0,0.674418604651,-5.0,-0.116279069767,-0.0542496574979,-3.5,-0.0546892903954,-0.329727587089,-0.0598646571279,43
95,95,CA,06,1978,3409903.08464,3124643.30561,0.521827052866,0.478172947134,26.0,0.604651162791,-3.5,-0.0813953488372,-0.0411009223361,-4.5,-0.0609970570591,-0.275014018212,-0.0218270528658,43
96,96,CA,06,1980,3665518.0,4178626.0,0.467293563198,0.532706436802,22.0,0.511627906977,-3.5,-0.0813953488372,-0.0160784301499,-3.5,-0.0770407805803,-0.0783088676508,0.0327064368018,43
97,97,CA,06,1982,3791936.40184,3693259.99351,0.506591437494,0.493408562506,28.0,0.622222222222,-5.5,-0.122222222222,-0.0382535723333,-5.5,-0.109039347234,-0.222155337013,-0.0065914374939,45
98,98,CA,06,1984,4446756.5539,4401254.87468,0.502571294103,0.497428705897,27.0,0.6,-4.5,-0.1,-0.0816517650312,-4.5,-0.0948574117938,-0.418005903118,-0.0025712941031,45
99,99,CA,06,1986,3751080.38723,3375024.49913,0.526385795193,0.473614204807,27.0,0.6,-4.5,-0.1,-0.104806279117,-4.5,-0.0472284096146,-0.500954127215,-0.0263857951927,45
100,100,CA,06,1988,4961789.09952,4370090.1862,0.531703095122,0.468296904878,27.0,0.6,-4.0,-0.0888888888889,-0.0905803285706,-4.5,-0.0365938097563,-0.452647126563,-0.0317030951218,45
101,101,CA,06,1990,3654046.43187,3354024.28241,0.521405473895,0.478594526105,26.0,0.577777777778,-3.0,-0.0666666666667,-0.0439689299503,-3.5,-0.0349668299874,-0.285158112147,-0.0214054738952,45
106,106,CA,06,2000,5629714.51093,4527714.15574,0.554246029746,0.445753970254,32.0,0.615384615385,-2.5,-0.0480769230769,0.0229891200817,0.0,-0.00689255589201,0.114338601279,-0.0542460297463,52
107,107,CA,06,2002,3737947.25187,3261963.31676,0.533999286879,0.466000713121,33.0,0.622641509434,-6.0,-0.11320754717,-0.0783428061258,-6.5,-0.0546429356751,-0.395721470625,-0.0339992868794,53
108,108,CA,06,2004,6459672.47819,5090721.31348,0.559259934743,0.440740065257,33.0,0.622641509434,-5.0,-0.0943396226415,-0.0757195296057,-5.5,-0.00412163994767,-0.383353736936,-0.0592599347431,53
109,109,CA,06,2006,5043452.04941,3563491.19504,0.585974823601,0.414025176399,34.0,0.641509433962,-3.0,-0.0566037735849,-0.0669398733222,-6.5,0.0304402132403,-0.361030877251,-0.0859748236013,53
110,110,CA,06,2008,7726960.08297,4892096.59885,0.61232469889,0.38767530111,34.0,0.641509433962,-3.0,-0.0566037735849,-0.0776406884135,-6.5,0.0831399638179,-0.441973522001,-0.11232469889,53
111,111,CA,06,2010,5247724.60685,4141142.25589,0.558930559307,0.441069440693,34.0,0.641509433962,-4.0,-0.0754716981132,-0.0524302879183,-5.5,-0.0236483153487,-0.300826811254,-0.0589305593068,53
112,112,CA,06,2012,7671732.56862,4965791.67528,0.607059770613,0.392940229387,39.0,0.735849056604,-3.0,-0.0566037735849,-0.0180706308666,-1.5,-0.021729515377,-0.110141029933,-0.107059770613,53
113,113,CA,06,2014,4351566.93611,3056376.82579,0.587419002624,0.412580997376,39.0,0.735849056604,-3.5,-0.0660377358491,-0.00449623238612,-1.5,-0.0610110513564,-0.0255766718932,-0.0874190026237,53
188,188,FL,12,1980,1870684.19621,1438832.23236,0.565243967385,0.434756032615,11.0,0.733333333333,-2.5,-0.166666666667,-0.0581382185073,-3.5,-0.102845398564,-0.327676503242,-0.0652439673847,15
190,190,FL,12,1984,2010736.84106,1906812.7044,0.513263921165,0.486736078835,12.0,0.631578947368,-2.5,-0.131578947368,-0.044272466266,-2.5,-0.105051105038,-0.258692969309,-0.013263921165,19
195,195,FL,12,1994,1925150.93078,2289613.22306,0.456763619627,0.543236380373,8.0,0.347826086957,2.5,0.108695652174,0.0707588613975,2.5,0.0657011522971,0.435729600393,0.0432363803732,23
196,196,FL,12,1996,2249098.40345,2842019.44655,0.441769071098,0.558230928902,8.0,0.347826086957,3.0,0.130434782609,0.0747928068085,2.5,0.0357120552403,0.430823244023,0.0582309289016,23
197,197,FL,12,1998,1555093.86363,1791222.13637,0.464718174742,0.535281825258,8.0,0.347826086957,3.5,0.152173913043,0.0780814961155,3.5,0.081610262527,0.470753483924,0.0352818252582,23
198,198,FL,12,2000,2646087.66702,2963415.94837,0.471715119277,0.528284880723,8.0,0.347826086957,2.5,0.108695652174,0.081681484147,1.5,0.095604151598,0.469533603957,0.0282848807227,23
199,199,FL,12,2002,2290358.74124,2768080.32126,0.452779743502,0.547220256498,7.0,0.28,3.5,0.14,0.0664746612423,4.5,0.125559487005,0.412519126367,0.0472202564977,25
200,200,FL,12,2004,3466006.4716,4215454.24269,0.451217105771,0.548782894229,7.0,0.28,3.5,0.14,0.0862446157977,5.5,0.122434211543,0.529786107791,0.0487828942286,25
201,201,FL,12,2006,2404186.17709,2550933.26736,0.485192376096,0.514807623904,9.0,0.36,3.0,0.12,0.0503848211743,2.5,0.110384752191,0.356495164616,0.0148076239044,25
202,202,FL,12,2008,3882040.89886,4099965.91932,0.486348983068,0.513651016932,10.0,0.4,2.5,0.1,0.0703194796335,2.5,0.0726979661357,0.469488623604,0.0136510169322,25
204,204,FL,12,2012,3995753.37506,4221863.7678,0.486242338332,0.513757661668,10.0,0.37037037037,2.5,0.0925925925926,0.0633738464443,3.5,0.102114306293,0.395303847614,0.0137576616683,27
229,229,GA,13,2016,1797953.94411,2232207.38922,0.446124558152,0.553875441848,4.0,0.285714285714,2.5,0.178571428571,0.0654302403278,3.0,0.106534830589,0.329094898405,0.0538754418482,14
714,714,NY,36,1974,2986032.53112,2054953.763,0.592350852968,0.407649147032,27.0,0.692307692308,-2.5,-0.0641025641026,0.0273933371246,-0.5,-0.00760598637196,0.138962634336,-0.0923508529679,39
715,715,NY,36,1976,3684456.14386,2495122.53261,0.596230962782,0.403769037218,28.0,0.717948717949,-3.0,-0.0769230769231,-0.0364054115664,-2.5,-0.0254867923856,-0.174428548792,-0.0962309627816,39
722,722,NY,36,1990,2102191.56141,1685404.79574,0.55501995545,0.44498004455,21.0,0.617647058824,-2.5,-0.0735294117647,-0.0386200880904,-3.0,-0.00760714792298,-0.169749537589,-0.0550199554503,34
